order,train_val_test,filename,filename_prefix,length,clips,fuel,config,cyl,turbo,misfire,loc,idle,disp,hp,make,oem
250,val,"Panda,aperto,3000.wav",Pandaaperto3000,9.8,3,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Non Idle,1.2,69,Fiat,Stellantis
254,val,"Panda,scappamento,3000.wav",Pandascappamento3000,8.8,2,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Non Idle,1.2,69,Fiat,Stellantis
38,val,2011-2017 Mitsubishi Outlander Sport MIVEC 2.0L I4 2.wav,20112017MitsubishiOutlanderSportMIVEC20LI42,8.6,2,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,150,Mitsubishi,Mitsubishi
58,val,2013 Hyundai Accent - Gamma GDI 1.6L I4 2.wav,2013HyundaiAccentGammaGDI16LI42,8.1,2,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,1.6,138,Hyundai,Hyundai
102,val,2015-2018 Jeep Renegade SUV - Tigershark 2.4L I4 3.wav,20152018JeepRenegadeSUVTigershark24LI43,5.9,1,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,180,Jeep,Stellantis
193,test,Lucy.wav,Lucy,14.9,4,Gasoline,Inline,6,Normally Aspirated,Normal,Open Hood,Idle,3.8,123,Chevrolet,GM
126,val,Acadia Normal 1.wav,AcadiaNormal1,309.3,103,Gasoline,Inline,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,288,GMC,GM
234,val,Pacifica Normal.wav,PacificaNormal,102.5,34,Gasoline,Inline,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,287,Chrysler,Stellantis
154,val,Cofano aperto 3000rpm_Peugeot2008.wav,Cofanoaperto3000rpmPeugeot2008,37.7,12,Diesel,Inline,4,Normally Aspirated,Normal,Open Hood,Non Idle,1.5,73,Peugeot,Stellantis
156,test,Cofano aperto idle_Peugeot2008.wav,CofanoapertoidlePeugeot2008,55.3,18,Diesel,Inline,4,Normally Aspirated,Normal,Open Hood,Non Idle,1.5,73,Peugeot,Stellantis
158,val,Cofano chiuso 3000rpm_Peugeot2008.wav,Cofanochiuso3000rpmPeugeot2008,37.0,12,Diesel,Inline,4,Normally Aspirated,Normal,Closed Hood,Non Idle,1.5,73,Peugeot,Stellantis
160,val,Cofano chiuso idle_Peugeot2008.wav,CofanochiusoidlePeugeot2008,55.1,18,Diesel,Inline,4,Normally Aspirated,Normal,Closed Hood,Non Idle,1.5,73,Peugeot,Stellantis
195,val,Marmitta 3000rpm_Peugeot2008.wav,Marmitta3000rpmPeugeot2008,30.8,10,Diesel,Inline,4,Normally Aspirated,Normal,Exhaust,Non Idle,1.5,73,Peugeot,Stellantis
197,val,Marmitta idle_Peugeot2008.wav,MarmittaidlePeugeot2008,46.2,15,Diesel,Inline,4,Normally Aspirated,Normal,Exhaust,Non Idle,1.5,73,Peugeot,Stellantis
86,val,2014-2018 Subaru Forester FB25 2.5L 2.wav,20142018SubaruForesterFB2525L2,8.2,2,Gasoline,Flat,4,Normally Aspirated,Normal,Unknown,Unknown,2.5,170,Subaru,Subaru
87,val,2014-2018 Subaru Forester FB25 2.5L 3.wav,20142018SubaruForesterFB2525L3,3.2,1,Gasoline,Flat,4,Normally Aspirated,Normal,Unknown,Unknown,2.5,170,Subaru,Subaru
88,test,2014-2018 Subaru Forester FB25 2.5L.wav,20142018SubaruForesterFB2525L,8.5,2,Gasoline,Flat,4,Normally Aspirated,Normal,Unknown,Unknown,2.5,170,Subaru,Subaru
104,val,2015-2018 Subaru Outback FB25 2.5L.wav,20152018SubaruOutbackFB2525L,30.1,10,Gasoline,Flat,4,Normally Aspirated,Normal,Unknown,Unknown,2.5,170,Subaru,Subaru
153,test,Cofano aperto 3000rpm_CitroenC1.wav,Cofanoaperto3000rpmCitroenC1,36.7,12,Gasoline,Inline,3,Normally Aspirated,Normal,Open Hood,Non Idle,1.0,67,Citroen,Stellantis
155,test,Cofano aperto idle_CitroenC1.wav,CofanoapertoidleCitroenC1,56.6,18,Gasoline,Inline,3,Normally Aspirated,Normal,Open Hood,Idle,1.0,67,Citroen,Stellantis
157,val,Cofano chiuso 3000rpm_CitroenC1.wav,Cofanochiuso3000rpmCitroenC1,37.5,12,Gasoline,Inline,3,Normally Aspirated,Normal,Closed Hood,Non Idle,1.0,67,Citroen,Stellantis
159,val,Cofano chiuso idle_CitroenC1.wav,CofanochiusoidleCitroenC1,55.4,18,Gasoline,Inline,3,Normally Aspirated,Normal,Closed Hood,Idle,1.0,67,Citroen,Stellantis
194,val,Marmitta 3000rpm_CitroenC1.wav,Marmitta3000rpmCitroenC1,35.0,11,Gasoline,Inline,3,Normally Aspirated,Normal,Exhaust,Non Idle,1.0,67,Citroen,Stellantis
196,val,Marmitta idle_CitroenC1.wav,MarmittaidleCitroenC1,47.0,15,Gasoline,Inline,3,Normally Aspirated,Normal,Exhaust,Idle,1.0,67,Citroen,Stellantis
1,val,"124,aperto,folle.wav",124apertofolle,30.6,10,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.4,138,Fiat,Stellantis
2,test,"124,chiuso,folle.wav",124chiusofolle,44.4,14,Gasoline,Inline,4,Turbocharged,Normal,Closed Hood,Idle,1.4,138,Fiat,Stellantis
3,test,"124,scappamento,folle.wav",124scappamentofolle,37.6,12,Gasoline,Inline,4,Turbocharged,Normal,Exhaust,Idle,1.4,138,Fiat,Stellantis
13,val,2009-2017 VW Tiguan 2.0L TSI Turbo I4 STEREO.wav,20092017VWTiguan20LTSITurboI4STEREO,21.9,7,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,200,VW,VW
20,val,2011 Audi A4 Normal 4.wav,2011AudiA4Normal4,15.4,5,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,211,Audi,VW
26,val,2011 Buick Regal Pkmn Normal OUTSAMPLE 1.wav,2011BuickRegalPkmnNormalOUTSAMPLE1,34.9,11,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
27,val,2011 Buick Regal Pkmn Normal OUTSAMPLE 2.wav,2011BuickRegalPkmnNormalOUTSAMPLE2,43.3,14,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
28,val,2011 Buick Regal Pkmn Normal OUTSAMPLE 3.wav,2011BuickRegalPkmnNormalOUTSAMPLE3,37.5,12,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
29,val,2011 Buick Regal Pkmn Normal OUTSAMPLE 4.wav,2011BuickRegalPkmnNormalOUTSAMPLE4,40.5,13,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
30,val,2011 Buick Regal Pkmn Normal OUTSAMPLE 5.wav,2011BuickRegalPkmnNormalOUTSAMPLE5,41.9,13,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
31,val,2011 Buick Regal W04G15GV9B1109087 2.0L I4 Turbo 270HP Hood Open Outside.wav,2011BuickRegalW04G15GV9B110908720LI4Turbo270HPHoodOpenOutside,125.6,41,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
54,val,2013 GM Chevrolet Cruze - Ecotec 1.4L.wav,2013GMChevroletCruzeEcotec14L,22.0,7,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.4,153,Chevrolet,GM
65,val,2013-2016 Ford Escape EcoBoost 2.0L I4.wav,20132016FordEscapeEcoBoost20LI4,38.3,12,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,252,Ford,Ford
73,val,2014 Ford Fusion Titanium EcoBoost.wav,2014FordFusionTitaniumEcoBoost,9.0,3,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,252,Ford,Ford
79,val,2014 Nissan Juke MR16DDT 1.6L Turbo-Charged I4 1.wav,2014NissanJukeMR16DDT16LTurboChargedI41,3.1,1,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.6,188,Nissan,Nissan
80,val,2014 Nissan Juke MR16DDT 1.6L Turbo-Charged I4 2.wav,2014NissanJukeMR16DDT16LTurboChargedI42,17.3,5,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.6,188,Nissan,Nissan
81,val,2014 Nissan Juke MR16DDT 1.6L Turbo-Charged I4 3.wav,2014NissanJukeMR16DDT16LTurboChargedI43,9.6,3,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.6,188,Nissan,Nissan
93,val,2015 To 2019 Ford Edge EcoBoost 2.0L I4 Turbocharged 2.wav,2015To2019FordEdgeEcoBoost20LI4Turbocharged2,18.1,6,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,245,Ford,Ford
94,val,2015 To 2019 Ford Edge EcoBoost 2.0L I4 Turbocharged.wav,2015To2019FordEdgeEcoBoost20LI4Turbocharged,21.9,7,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,245,Ford,Ford
96,val,2015 Volkswagen Beetle - TSI 1.8L Turbo I4 2.wav,2015VolkswagenBeetleTSI18LTurboI42,27.3,9,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.8,170,VW,VW
97,test,2015 Volvo XC60 2.0L I4 Turbocharged Supercharged 302HP Y44DM9F2650476 Hood Open Outside.wav,2015VolvoXC6020LI4TurbochargedSupercharged302HPY44DM9F2650476HoodOpenOutside,123.5,41,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,302,Volvo,Geely
98,val,2015 VW Passat TSI Turbo 1.8L I4.wav,2015VWPassatTSITurbo18LI4,22.0,7,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.8,170,VW,VW
99,val,2015_2016 VW Passat B8 2.0 TDI 150hp.wav,20152016VWPassatB820TDI150hp,17.7,5,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,150,VW,VW
100,val,2015_2016 VW Passat B8 2.0 TDI 150hp1.wav,20152016VWPassatB820TDI150hp1,6.8,2,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,150,VW,VW
109,test,"2016, 2017, 2018 & 2019 GM Chevrolet Cruze Ecotec Turbo 1.4L I4.wav",201620172018&2019GMChevroletCruzeEcotecTurbo14LI4,24.1,8,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.4,153,Chevrolet,GM
114,test,2018 To 2022 GM Chevrolet Equinox Ecotec 1.5L Turbo I4.wav,2018To2022GMChevroletEquinoxEcotec15LTurboI4,35.4,11,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.5,170,Chevrolet,GM
118,val,500L 3000 rpm - Cofano aperto.wav,500L3000rpmCofanoaperto,43.7,14,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Non Idle,1.6,105,Fiat,Stellantis
119,val,500L 3000 rpm - Cofano chiuso.wav,500L3000rpmCofanochiuso,47.6,15,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Non Idle,1.6,105,Fiat,Stellantis
120,val,500L 3000 rpm - Marmitta.wav,500L3000rpmMarmitta,40.9,13,Diesel,Inline,4,Turbocharged,Normal,Exhaust,Non Idle,1.6,105,Fiat,Stellantis
121,test,500L Folle - Cofano aperto.wav,500LFolleCofanoaperto,41.7,13,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.6,105,Fiat,Stellantis
122,val,500L Folle - Cofano chiuso.wav,500LFolleCofanochiuso,33.5,11,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Idle,1.6,105,Fiat,Stellantis
123,val,500L Folle - Marmitta.wav,500LFolleMarmitta,47.5,15,Diesel,Inline,4,Turbocharged,Normal,Exhaust,Idle,1.6,105,Fiat,Stellantis
127,val,Aperto Ettore minimo.wav,ApertoEttoreminimo,56.1,18,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.2,184,Mazda,Mazda
128,val,Audi Q5 cofano aperto .wav,AudiQ5cofanoaperto,113.4,37,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,167,Audi,VW
129,val,Audi Q5 sul cofano.wav,AudiQ5sulcofano,94.2,31,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Idle,2.0,167,Audi,VW
130,test,Audi Q5 tubo di scappamento .wav,AudiQ5tubodiscappamento,108.1,36,Diesel,Inline,4,Turbocharged,Normal,Exhaust,Idle,2.0,167,Audi,VW
131,val,BMW fuori dal cofano a 3000 giri.wav,BMWfuoridalcofanoa3000giri,108.5,36,Diesel,Inline,6,Turbocharged,Normal,Closed Hood,Non Idle,3.0,241,BMW,BMW
132,val,BMW fuori dal cofano in folle 2.wav,BMWfuoridalcofanoinfolle2,31.9,10,Diesel,Inline,6,Turbocharged,Normal,Closed Hood,Idle,3.0,241,BMW,BMW
133,val,BMW fuori dal cofano in folle.wav,BMWfuoridalcofanoinfolle,63.4,21,Diesel,Inline,6,Turbocharged,Normal,Closed Hood,Idle,3.0,241,BMW,BMW
134,val,BMW vicino al motore in folle.wav,BMWvicinoalmotoreinfolle,113.9,37,Diesel,Inline,6,Turbocharged,Normal,Open Hood,Idle,3.0,241,BMW,BMW
135,val,BMW vicino motore a 3000 giri.wav,BMWvicinomotorea3000giri,103.3,34,Diesel,Inline,6,Turbocharged,Normal,Open Hood,Non Idle,3.0,241,BMW,BMW
136,val,BMW vicino scappamento a 3000 giri.wav,BMWvicinoscappamentoa3000giri,109.6,36,Diesel,Inline,6,Turbocharged,Normal,Exhaust,Non Idle,3.0,241,BMW,BMW
137,test,BMW X1 Nonno.wav,BMWX1Nonno,96.8,32,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,177,BMW,BMW
138,val,Buick Regal I4 Idle Normal 2.wav,BuickRegalI4IdleNormal2,62.9,20,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
139,val,Buick Regal I4 Idle Normal 3.wav,BuickRegalI4IdleNormal3,311.6,103,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
140,val,Buick Regal I4 Idle Normal.wav,BuickRegalI4IdleNormal,33.2,11,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
141,val,Buick Regal Owen.wav,BuickRegalOwen,130.4,43,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,250,Buick,GM
142,val,Buick Regal.wav,BuickRegal,130.4,43,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
145,val,Chiudo ettore 3000.wav,Chiudoettore3000,49.1,16,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Non Idle,2.2,184,Mazda,Mazda
146,test,Chiuso minimo Ettore.wav,ChiusominimoEttore,52.0,17,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Idle,2.2,184,Mazda,Mazda
147,val,Cmax Aperto 3000.wav,CmaxAperto3000,51.4,17,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Non Idle,1.6,115,Ford,Ford
148,val,Cmax Aperto Folle.wav,CmaxApertoFolle,53.4,17,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.6,115,Ford,Ford
149,val,Cmax Chiuso 3000.wav,CmaxChiuso3000,44.5,14,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Non Idle,1.6,115,Ford,Ford
150,val,Cmax Chiuso Folle.wav,CmaxChiusoFolle,54.8,18,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Idle,1.6,115,Ford,Ford
151,val,Cmax Tubo 3000.wav,CmaxTubo3000,39.7,13,Diesel,Inline,4,Turbocharged,Normal,Exhaust,Non Idle,1.6,115,Ford,Ford
152,val,Cmax Tubo Folle.wav,CmaxTuboFolle,53.0,17,Diesel,Inline,4,Turbocharged,Normal,Exhaust,Idle,1.6,115,Ford,Ford
167,test,Ettore aperto 3000g.wav,Ettoreaperto3000g,56.7,18,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Non Idle,2.2,184,Mazda,Mazda
189,val,Hyundai-Santa-Fe-SUV-2-5-L-I4.wav,HyundaiSantaFeSUV25LI4,30.6,10,Gasoline,Inline,4,Turbocharged,Normal,Unknown,Unknown,2.5,277,Hyundai,Hyundai
204,val,Micra Aperto 3000.wav,MicraAperto3000,58.0,19,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Non Idle,1.4,90,Nissan,Nissan
205,val,Micra Aperto Folle.wav,MicraApertoFolle,61.8,20,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.4,90,Nissan,Nissan
206,val,Micra Chiuso 3000.wav,MicraChiuso3000,54.2,18,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Non Idle,1.4,90,Nissan,Nissan
207,val,Micra Chiuso Folle.wav,MicraChiusoFolle,62.3,20,Diesel,Inline,4,Turbocharged,Normal,Closed Hood,Idle,1.4,90,Nissan,Nissan
208,test,Micra Tubo 3000.wav,MicraTubo3000,54.4,18,Diesel,Inline,4,Turbocharged,Normal,Exhaust,Non Idle,1.4,90,Nissan,Nissan
209,val,Micra Tubo Folle.wav,MicraTuboFolle,60.7,20,Diesel,Inline,4,Turbocharged,Normal,Exhaust,Idle,1.4,90,Nissan,Nissan
210,val,MotorSound - Audi A3 (8V) 2.0 TDI EA288 150 PS.wav,MotorSoundAudiA3(8V)20TDIEA288150PS,22.1,7,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,150,Audi,VW
211,val,MotorSound - Audi A4 B6 1.9 TDI AVF 130 PS (original) chip tuned about 160 PS.wav,MotorSoundAudiA4B619TDIAVF130PS(original)chiptunedabout160PS,44.1,14,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,1.9,160,Audi,VW
212,val,MotorSound - BMW F22 220d xDrive B47D20 190 PS.wav,MotorSoundBMWF22220dxDriveB47D20190PS,19.4,6,Diesel,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.2,190,BMW,BMW
223,test,OUTSAMPLE 2011 Audi A4 Normal 3.wav,OUTSAMPLE2011AudiA4Normal3,20.2,6,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,211,Audi,VW
224,test,OUTSAMPLE 2011 Buick Regal Normal Hood Closed 1.wav,OUTSAMPLE2011BuickRegalNormalHoodClosed1,67.5,22,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
225,test,OUTSAMPLE 2011 Regal Normal Hood Open Loud Garage.wav,OUTSAMPLE2011RegalNormalHoodOpenLoudGarage,65.3,21,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
237,test,Panda aperto minimo.wav,Pandaapertominimo,57.7,19,Gasoline,Inline,2,Turbocharged,Normal,Open Hood,Idle,0.9,83,Fiat,Stellantis
246,val,Panda minimo chiuso.wav,Pandaminimochiuso,62.4,20,Gasoline,Inline,2,Turbocharged,Normal,Closed Hood,Idle,0.9,83,Fiat,Stellantis
247,val,Panda scappamento minimo.wav,Pandascappamentominimo,51.6,17,Gasoline,Inline,2,Turbocharged,Normal,Exhaust,Idle,0.9,83,Fiat,Stellantis
265,val,Regal I4 Idle Normal 5.wav,RegalI4IdleNormal5,309.0,103,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
266,val,Regal Normal 7 Stata Garage.wav,RegalNormal7StataGarage,325.5,108,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
267,val,Regal Normal Parkman Lot.wav,RegalNormalParkmanLot,438.2,146,Gasoline,Inline,4,Turbocharged,Normal,Open Hood,Idle,2.0,260,Buick,GM
270,val,Shane Defender Hood Closed.wav,ShaneDefenderHoodClosed,82.8,27,Diesel,Inline,5,Turbocharged,Normal,Closed Hood,Idle,2.5,122,Land Rover,Tata
271,val,Shane Defender Hood Open.wav,ShaneDefenderHoodOpen,65.8,21,Diesel,Inline,5,Turbocharged,Normal,Open Hood,Idle,2.5,122,Land Rover,Tata
272,val,Smart aperto cofano.wav,Smartapertocofano,55.3,18,Gasoline,Inline,3,Turbocharged,Normal,Open Hood,Idle,0.7,60,Smart,Daimler
273,val,Smart cofano chiuso.wav,Smartcofanochiuso,56.0,18,Gasoline,Inline,3,Turbocharged,Normal,Closed Hood,Idle,0.7,60,Smart,Daimler
274,val,Smart scappamento.wav,Smartscappamento,57.3,19,Gasoline,Inline,3,Turbocharged,Normal,Exhaust,Idle,0.7,60,Smart,Daimler
116,test,"2018, 2019 & 2020 Ford Expedition SUV - EcoBoost 3.5L V6.wav",20182019&2020FordExpeditionSUVEcoBoost35LV6,20.0,6,Gasoline,V,6,Turbocharged,Normal,Open Hood,Idle,3.5,375,Ford,Ford
257,test,"Range,aperto,folle.wav",Rangeapertofolle,39.2,13,Diesel,V,6,Turbocharged,Normal,Open Hood,Idle,3.0,245,Range Rover,Tata
258,test,"Range,apetro,3000.wav",Rangeapetro3000,9.1,3,Diesel,V,6,Turbocharged,Normal,Open Hood,Non Idle,3.0,245,Range Rover,Tata
259,test,"Range,chiuso,3000.wav",Rangechiuso3000,11.7,3,Diesel,V,6,Turbocharged,Normal,Closed Hood,Non Idle,3.0,245,Range Rover,Tata
260,val,"Range,chiuso,folle.wav",Rangechiusofolle,37.0,12,Diesel,V,6,Turbocharged,Normal,Closed Hood,Idle,3.0,245,Range Rover,Tata
261,test,"Range,scappamento,3000.wav",Rangescappamento3000,9.6,3,Diesel,V,6,Turbocharged,Normal,Exhaust,Non Idle,3.0,245,Range Rover,Tata
262,val,"Range,scappamento,folle.wav",Rangescappamentofolle,35.2,11,Diesel,V,6,Turbocharged,Normal,Exhaust,Idle,3.0,245,Range Rover,Tata
49,val,2012-2017 Hyundai Veloster Gamma GDI 1.6L I4 1.wav,20122017HyundaiVelosterGammaGDI16LI41,26.7,8,Gasoline,Inline,4,Unknown,Normal,Open Hood,Idle,1.6,Unknown,Hyundai,Hyundai
50,val,2012-2017 Hyundai Veloster Gamma GDI 1.6L I4 2.wav,20122017HyundaiVelosterGammaGDI16LI42,14.9,4,Gasoline,Inline,4,Unknown,Normal,Open Hood,Idle,1.6,Unknown,Hyundai,Hyundai
108,val,"2016, 2017 & 2018 Hyundai Tucson SUV - Nu 2.0L GDI I4.wav",20162017&2018HyundaiTucsonSUVNu20LGDII4,28.8,9,Gasoline,Inline,4,Unknown,Normal,Open Hood,Idle,2.0,164,Hyundai,Hyundai
110,val,"2016, 2017, 2018, 2019 & 2020 Kia Optima Theta II 2.4L GDI I4.wav",2016201720182019&2020KiaOptimaThetaII24LGDII4,30.8,10,Gasoline,Inline,4,Unknown,Normal,Open Hood,Idle,2.4,178,Kia,Hyundai
173,val,Ford Focus MK3 2.wav,FordFocusMK32,7.7,2,Unknown,Inline,4,Unknown,Normal,Unknown,Unknown,Unknown,Unknown,Ford,Ford
174,val,Ford Focus MK3 3.wav,FordFocusMK33,15.6,5,Unknown,Inline,4,Unknown,Normal,Unknown,Unknown,Unknown,Unknown,Ford,Ford
175,val,Ford Focus MK3.wav,FordFocusMK3,7.6,2,Unknown,Inline,4,Unknown,Normal,Unknown,Unknown,Unknown,Unknown,Ford,Ford
165,val,Dodge Grand Caravan.wav,DodgeGrandCaravan,130.4,43,Unknown,Unknown,Unknown,Unknown,Normal,Unknown,Unknown,Unknown,Unknown,Dodge,Stellantis
177,val,Ford Fusion.wav,FordFusion,130.5,43,Gasoline,Unknown,Unknown,Unknown,Normal,Unknown,Unknown,Unknown,Unknown,Ford,Ford
188,val,Honda Pilot.wav,HondaPilot,130.4,43,Unknown,Unknown,Unknown,Unknown,Normal,Unknown,Unknown,Unknown,Unknown,Honda,Honda
277,val,Toyota Camry.wav,ToyotaCamry,130.4,43,Unknown,Unknown,Unknown,Unknown,Normal,Unknown,Unknown,Unknown,Unknown,Toyota,Toyota
105,val,2016 GMC Acadia SUV - 3.6L LLT V6 1.wav,2016GMCAcadiaSUV36LLLTV61,24.0,8,Gasoline,V,6,Unknown,Normal,Open Hood,Idle,3.6,281,GMC,GM
106,val,2016 GMC Acadia SUV - 3.6L LLT V6 2.wav,2016GMCAcadiaSUV36LLLTV62,24.0,7,Gasoline,V,6,Unknown,Normal,Open Hood,Idle,3.6,281,GMC,GM
111,val,"2016, 2017, 2018, 2019 & 2020 Kia Sorento 3.3L V6.wav",2016201720182019&2020KiaSorento33LV6,42.5,14,Gasoline,V,6,Unknown,Normal,Open Hood,Idle,3.3,204,Kia,Hyundai
21,val,2011 Buick Regal Pkmn Abnormal OUTSAMPLE 1.wav,2011BuickRegalPkmnAbnormalOUTSAMPLE1,92.8,30,Gasoline,Inline,4,Turbocharged,Abnormal,Open Hood,Idle,2.0,260,Buick,GM
22,val,2011 Buick Regal Pkmn Abnormal OUTSAMPLE 2.wav,2011BuickRegalPkmnAbnormalOUTSAMPLE2,39.0,12,Gasoline,Inline,4,Turbocharged,Abnormal,Open Hood,Idle,2.0,260,Buick,GM
23,val,2011 Buick Regal Pkmn Abnormal OUTSAMPLE 3.wav,2011BuickRegalPkmnAbnormalOUTSAMPLE3,36.1,12,Gasoline,Inline,4,Turbocharged,Abnormal,Open Hood,Idle,2.0,260,Buick,GM
24,val,2011 Buick Regal Pkmn Abnormal OUTSAMPLE 4.wav,2011BuickRegalPkmnAbnormalOUTSAMPLE4,42.1,14,Gasoline,Inline,4,Turbocharged,Abnormal,Open Hood,Idle,2.0,260,Buick,GM
25,val,2011 Buick Regal Pkmn Abnormal OUTSAMPLE 5.wav,2011BuickRegalPkmnAbnormalOUTSAMPLE5,35.8,11,Gasoline,Inline,4,Turbocharged,Abnormal,Open Hood,Idle,2.0,260,Buick,GM
124,val,Acadia Abnormal 1 - Cyl 1.wav,AcadiaAbnormal1Cyl1,305.6,101,Gasoline,Inline,6,Normally Aspirated,Abnormal,Open Hood,Idle,3.6,288,GMC,GM
125,val,Acadia Abnormal 2 - Cyl 3.wav,AcadiaAbnormal2Cyl3,310.8,103,Gasoline,Inline,6,Normally Aspirated,Abnormal,Open Hood,Idle,3.6,288,GMC,GM
143,test,Camry Abnormal 1.wav,CamryAbnormal1,124.7,41,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,Unknown,Unknown,Toyota,Toyota
161,val,Corolla Abnormal.wav,CorollaAbnormal,147.4,49,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,Unknown,Unknown,Toyota,Toyota
171,val,Focus Abnormal 1.wav,FocusAbnormal1,152.7,50,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,2.0,160,Ford,Ford
180,test,Fusion Abnormal 1.wav,FusionAbnormal1,6.8,2,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,2.0,160,Ford,Ford
200,val,Mazda3 Abnormal.wav,Mazda3Abnormal,32.4,10,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,Unknown,Unknown,Mazda,Mazda
215,val,Optima Abnormal 1 - Cylinder 1.wav,OptimaAbnormal1Cylinder1,309.0,102,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,2.4,200,Kia,Hyundai
216,val,Optima Abnormal 3 - Cylinder 1.wav,OptimaAbnormal3Cylinder1,33.1,11,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,2.4,200,Kia,Hyundai
217,val,Optima Abnormal 4 - Cylinder 2.wav,OptimaAbnormal4Cylinder2,31.5,10,Gasoline,Inline,4,Normally Aspirated,Abnormal,Open Hood,Idle,2.4,200,Kia,Hyundai
